# Clean 24-well ELISA subset — passes every QC check (SUPPORTED)
# Columns: kind,position,label(=concentration for standards / sample id),reading
# expected_wells: 24
standard,B2,0,0.100
standard,C2,2,0.150
standard,D2,4,0.200
standard,E2,8,0.300
standard,F2,16,0.500
standard,G2,32,0.900
sample,C3,S1,0.400
sample,C4,S1,0.410
sample,C5,S1,0.405
sample,D3,S2,0.600
sample,D4,S2,0.610
sample,D5,S2,0.605
sample,E3,S3,0.250
sample,E4,S3,0.255
sample,E5,S3,0.248
sample,C6,S4,0.700
sample,C7,S4,0.710
sample,C8,S4,0.705
sample,D6,S5,0.350
sample,D7,S5,0.360
sample,D8,S5,0.355
sample,E6,S6,0.500
sample,E7,S6,0.505
sample,E8,S6,0.498
